h,ridge_alpha,ridge_rmse,lasso_alpha,lasso_rmse,lasso_kept,lasso_top
1,1000.0,2.68376209190655,0.6812920690579608,2.799835948020587,5,INFL_l0 INFL_l1 T5YFFM_l0 INFL_l3 TB6SMFFM_l0
12,3162.2776601683795,1.8452833935639918,1.467799267622069,1.7702126618959053,4,INFL_l0 INFL_l1 INFL_l3 INFL_l2
